role,question,keywords,reference_answer,,
QA Engineer,What is the difference between manual and automation testing?,"test cases, automation testing","Manual testing involves a human executing test cases step by step without scripts, while automation testing uses tools like Selenium to run pre-written scripts automatically. Automation is faster for regression testing, while manual testing is better for exploratory or UI-focused testing.",,
QA Engineer,How do you use Selenium for end-to-end automation testing?,"automation testing, selenium","Selenium WebDriver is used to automate browser interactions by locating web elements via selectors (ID, XPath, CSS) and simulating user actions like clicks and form inputs. Tests are written in languages like Python or Java and integrated into CI/CD pipelines for continuous testing.",,
QA Engineer,How do you prioritize and report bugs effectively?,"bug reporting, test cases","Bugs are prioritized by severity (critical, major, minor) and impact on the user. A good bug report includes a clear title, steps to reproduce, expected vs actual behavior, screenshots or logs, environment details, and assigned severity. Tools like Jira or Bugzilla are commonly used.",,
QA Engineer,What is regression testing and when should it be performed?,"test cases, automation testing","Regression testing verifies that new code changes have not broken existing functionality. It should be performed after every new feature release, bug fix, or code refactor. Automation testing tools like Selenium are ideal for running large regression test suites efficiently.",,
Web Development,"What is the role of HTML, CSS  and JavaScript in web development?","html, css, javascript","HTML provides the structure and content of a webpage, CSS handles the visual styling and layout, and JavaScript adds interactivity and dynamic behavior. Together they form the core frontend stack, while backend technologies and databases power the server-side logic.","html, css, javascript","HTML provides the structure and content of a webpage, CSS handles the visual styling and layout, and JavaScript adds interactivity and dynamic behavior. Together they form the core frontend stack, while backend technologies and databases power the server-side logic."
Web Development,How do you optimize a website for performance?,"javascript, css, backend","Performance optimization techniques include minifying CSS and JavaScript files, lazy loading images, using a CDN, reducing HTTP requests, enabling browser caching, and optimizing database queries on the backend. Tools like Lighthouse are used to measure and guide improvements.",,
Web Development,How do you connect a frontend to a backend system?,"javascript, backend, databases","The frontend communicates with the backend via HTTP requests using REST APIs or GraphQL. JavaScript (using fetch or axios) sends requests to backend endpoints that process logic, query databases, and return JSON responses which the frontend then renders dynamically.",,
Web Development,What types of databases are used in web development and when do you choose them?,"backend, databases","Relational databases like MySQL or PostgreSQL are used when data has clear relationships and requires structured queries. NoSQL databases like MongoDB are used for flexible, document-based data or high scalability needs. The choice depends on the data structure and application requirements.",,
Web Development,How do you ensure cross-browser compatibility in your web projects?,"html, css, javascript","Cross-browser compatibility is ensured by using standardized HTML and CSS, testing on multiple browsers (Chrome, Firefox, Safari, Edge), using CSS resets or normalize.css, avoiding browser-specific features, and using tools like BrowserStack or Can I Use for compatibility checks.",,
Project Management,What is the difference between Agile and Waterfall methodologies?,"agile, scrum","Waterfall is a linear, sequential approach where each phase is completed before the next begins, making it rigid but predictable. Agile is iterative and flexible, delivering work in short sprints with continuous feedback. Scrum is a popular Agile framework that organizes work into time-boxed sprints with defined roles and ceremonies.",,
Project Management,How do you conduct an effective sprint planning meeting in Scrum?,"agile, scrum","Sprint planning involves the Product Owner presenting prioritized backlog items, the team estimating effort using story points, and committing to a sprint goal. The team breaks selected items into tasks and assigns ownership. The meeting ensures alignment and sets a clear deliverable for the sprint.",,
Project Management,How do you identify and mitigate risks in a project?,"risk management, agile","Risk identification involves brainstorming with stakeholders, reviewing past project issues, and analyzing dependencies. Each risk is assessed by likelihood and impact. Mitigation strategies include contingency planning, assigning risk owners, and monitoring risks in a risk register throughout the project lifecycle.",,
Project Management,What tools do you use for project tracking and reporting?,"agile, scrum, risk management","Common tools include Jira for Agile sprint tracking, Trello for Kanban boards, Microsoft Project for Gantt charts, and Confluence for documentation. These tools help track progress, identify blockers, manage risks, and generate status reports for stakeholders.",,
Project Management,How do you handle scope creep during a project?,"agile, risk management","Scope creep is managed by clearly defining project scope in a scope statement or charter, using a formal change control process for new requests, evaluating the impact of changes on timeline and budget, and communicating decisions to stakeholders. Agile teams re-prioritize the backlog rather than adding to the current sprint.",,
Frontend Developer,What are React hooks and how do you use them?,"react, javascript","React hooks are functions that let functional components use state and lifecycle features. Common hooks include useState for managing local state, useEffect for side effects like API calls, and useContext for accessing global state. Hooks replaced class-based lifecycle methods and make components more readable and reusable.",,
Frontend Developer,How do you approach responsive UI design in your projects?,"ui design, react","Responsive design is achieved using CSS media queries, flexible grid systems (CSS Grid or Flexbox), and relative units like percentages and rem. In React, libraries like Tailwind CSS or Material UI provide responsive utility classes. Designs are tested across screen sizes using browser dev tools or tools like Figma.",,
Frontend Developer,Explain the virtual DOM in React and why it improves performance?,"react, javascript","The virtual DOM is a lightweight JavaScript representation of the real DOM. When state changes, React creates a new virtual DOM tree, compares it with the previous one (diffing), and updates only the changed nodes in the real DOM. This minimizes expensive DOM operations and results in faster UI rendering.",,
Frontend Developer,How do you manage state in a large React application?,"react, javascript","For large applications, global state is managed using tools like Redux, Zustand, or the React Context API. Component-level state is handled with useState or useReducer. Best practices include keeping state as local as possible, normalizing data structures, and separating UI state from server/async state using libraries like React Query.",,
Frontend Developer,What JavaScript ES6+ features do you use most in frontend development?,"javascript, react","Commonly used ES6+ features include arrow functions, destructuring, spread/rest operators, template literals, async/await for asynchronous code, optional chaining, and ES modules (import/export). These features improve code readability and are essential for modern React development.",,
Game Developer,What experience do you have with the Unity game engine?,"unity, c#","Unity is a cross-platform game engine used to build 2D and 3D games. It uses C# for scripting game logic, physics, and UI interactions. Key Unity concepts include GameObjects, components, prefabs, the Scene hierarchy, and the Unity Asset Store for reusable assets. Unity supports deployment to PC, mobile, and console platforms.",,
Game Developer,How do you implement realistic physics in a Unity game?,"game physics, unity","Unity's built-in PhysX engine handles physics through Rigidbody and Collider components. Realistic physics is achieved by configuring mass, drag, gravity, and collision layers. For 2D games, Rigidbody2D and Collider2D are used. Custom physics behaviors are scripted in C# using force application and physics raycasting.",,
Game Developer,How do you use C# scripting in Unity to control game behavior?,"c#, unity","C# scripts in Unity are attached to GameObjects as components. Common patterns include using Start() for initialization, Update() for per-frame logic, and coroutines for time-based behavior. Scripts interact with Unity's API to move objects, detect input, manage UI, trigger animations, and control game state.",,
Game Developer,How do you optimize graphics rendering in a game?,"graphics, unity, game physics","Graphics optimization includes reducing draw calls by batching objects, using level of detail (LOD) models, baking lighting instead of real-time rendering, compressing textures, and using occlusion culling to skip rendering objects not in view. Unity's Profiler tool helps identify rendering bottlenecks.",,
Game Developer,What is the game loop and how does it work in Unity?,"unity, c#, game physics","The game loop is the continuous cycle that updates game logic and renders frames. In Unity, it is managed internally and exposed through MonoBehaviour methods: Update() runs every frame for input and movement logic, FixedUpdate() runs at a fixed rate for physics, and LateUpdate() runs after all Updates for camera follow logic.",,
Backend Developer,How do you design and build RESTful APIs?,"apis, nodejs","RESTful APIs are designed around resources and HTTP methods: GET for retrieval, POST for creation, PUT/PATCH for updates, and DELETE for removal. Each endpoint follows a consistent URL structure. In Node.js, frameworks like Express.js are used to define routes, handle middleware, validate inputs, and return JSON responses.",,
Backend Developer,What is the difference between SQL and NoSQL databases?,"databases, apis","SQL databases like PostgreSQL use structured tables with predefined schemas and are ideal for relational data with complex queries. NoSQL databases like MongoDB use flexible document or key-value structures suited for large-scale, unstructured, or rapidly changing data. The choice depends on data complexity, scalability needs, and query patterns.",,
